approx_year_built,cats_allowed,coop_condo,dining_room_type,dogs_allowed,garage_exists,kitchen_type,num_bedrooms,num_full_bathrooms,num_half_bathrooms,num_total_rooms,pct_tax_deductibl,sale_price,sq_footage,walk_score,zip_codes,monthly_costs
1983,yes,condo,formal,yes,no,eat in,1,1,0,3,NA,408000,NA,75,Northeast Queens,365.1666667
1987,no,condo,combo,yes,no,efficiency,3,2,0,6,NA,460000,1033,84,West Central Queens,696.6666667
1958,yes,co-op,combo,yes,no,efficiency,1,1,0,3,NA,160000,800,85,Jamaica,727
1950,no,co-op,combo,no,no,eat in,1,1,0,3,NA,169000,NA,67,Central Queens,735
1952,yes,co-op,NA,yes,no,efficiency,1,1,0,3,NA,170000,NA,83,North Queens,676
1937,yes,co-op,combo,no,no,efficiency,0,1,0,2,NA,182000,NA,98,West Queens,397
1952,yes,co-op,combo,no,yes,efficiency,1,1,0,3,NA,162000,NA,65,Central Queens,671
2008,no,condo,combo,no,no,eat in,2,2,0,5,NA,599000,NA,92,North Queens,15.33333333
1986,no,condo,formal,no,no,eat in,1,1,0,4,NA,475000,750,59,North Queens,661.8333333
1965,yes,condo,NA,yes,no,efficiency,2,2,0,5,NA,285000,NA,76,Southwest Queens,840.8333333
1963,no,co-op,NA,no,yes,efficiency,0,1,0,2,NA,120000,NA,91,Southwest Queens,827
1940,no,co-op,formal,no,no,efficiency,3,2,0,5,36,490000,NA,93,West Central Queens,1306
1958,no,co-op,NA,no,no,efficiency,2,1,1,4,NA,285000,1000,98,West Queens,606
1955,no,co-op,combo,no,no,efficiency,1,1,0,3,50,186500,NA,55,Northeast Queens,670
1950,yes,co-op,formal,no,no,eat in,2,1,0,4,60,212000,NA,76,Northeast Queens,472
2007,no,condo,formal,no,no,eat in,2,2,0,6,NA,495000,1000,82,Central Queens,427.6666667
1955,no,co-op,formal,no,no,efficiency,2,1,1,5,NA,505000,NA,98,West Central Queens,1117
1950,no,co-op,NA,no,no,efficiency,1,1,0,3,NA,125000,NA,82,Northeast Queens,614
1965,no,co-op,formal,no,no,efficiency,3,3,0,6,NA,755000,NA,92,West Central Queens,1880
1952,yes,co-op,NA,no,no,efficiency,1,1,0,4,NA,127000,675,94,West Queens,0
2002,no,condo,NA,no,no,efficiency,2,2,0,5,NA,560000,NA,96,North Queens,0
1950,yes,co-op,combo,yes,no,eat in,3,1,0,5,39,301000,856,58,Southeast Queens,789
1950,no,co-op,combo,no,no,eat in,2,1,0,5,NA,220000,NA,70,Northeast Queens,632
1964,no,condo,formal,no,no,efficiency,3,2,0,6,NA,355000,NA,77,Southwest Queens,1307.166667
1947,yes,co-op,combo,yes,no,eat in,1,1,0,4,NA,220000,800,94,West Central Queens,667
1920,yes,co-op,combo,yes,no,efficiency,1,1,0,1,50,125000,NA,99,West Central Queens,592
1954,yes,condo,NA,yes,no,eat in,2,2,0,5,NA,540000,NA,82,Central Queens,722
1955,no,co-op,NA,no,no,eat in,1,1,0,3,NA,108000,800,69,Jamaica,558
2007,yes,condo,combo,no,no,efficiency,2,2,0,6,NA,475000,900,82,Central Queens,441
1963,no,co-op,formal,no,yes,eat in,1,1,0,2,NA,160000,NA,88,West Central Queens,565
1990,no,condo,formal,no,no,eat in,3,1,0,6,NA,160000,1000,90,Jamaica,283.3333333
