"","approx_year_built","cats_allowed","common_charges","coop_condo","dining_room_type","dogs_allowed","full_address_or_zip_code","garage_exists","kitchen_type","maintenance_cost","num_bedrooms","num_full_bathrooms","num_half_bathrooms","num_total_rooms","parking_charges","pct_tax_deductibl","sale_price","sq_footage","total_taxes","walk_score","zip_codes"
"1199",1950,"no",NA,"co-op",NA,"no","67-66 108 St, Forest Hills NY, 11375",NA,"eatin","$1,075 ",3,2,NA,8,NA,50,NA,NA,NA,93,"11375"
"1200",1949,"no",NA,"co-op","other","no","67-66 108th St,  Forest Hills NY, 11375","yes","efficiency","$612",1,1,NA,3,"$133",48,NA,621,NA,93,"11375"
"1201",1949,"yes",NA,"co-op","combo","yes","67-69 223 Pl,  Oakland Gardens NY, 11364","yes","eatin","$899",2,1,NA,5,"$50",NA,NA,NA,NA,70,"11364"
"1202",1950,"yes",NA,"co-op","combo","yes","67-86 150th St,  Flushing NY, 11367",NA,"efficiency kitchen","$658",1,1,NA,3,NA,NA,NA,NA,NA,88,"11367"
"1203",1932,"no",NA,"co-op","formal","no","67-87 Booth St,  Forest Hills NY, 11375","yes","eatin","$996",2,2,NA,4,"$75",NA,NA,NA,NA,96,"11375"
"1204",1950,"no",NA,"co-op","formal","no","68-08 140th St,  Kew Garden Hills NY, 11367",NA,"efficiency","$1,013 ",2,1,NA,5,NA,NA,NA,865,NA,86,"11367"
"1205",1940,"yes",NA,"co-op",NA,"yes","68-10 108th St,  Forest Hills NY, 11375",NA,"combo","$700",1,1,NA,2,NA,50,NA,NA,NA,90,"11375"
"1206",1950,"no",NA,"co-op","formal","no","68-10 140th St,  Kew Garden Hills NY, 11367",NA,"efficiency kitchen","$1,013 ",2,1,NA,5,NA,NA,NA,NA,NA,86,"11367"
"1207",1950,"no",NA,"co-op",NA,"no","68-24-140 St., Kew Garden Hills, NY 11367",NA,"eatin","$745",1,1,NA,4,NA,NA,NA,NA,NA,86,"11367"
"1208",1949,"no",NA,"co-op","combo","no","68-61 Yellowstone Blvd,  Forest Hills NY, 11375",NA,"eatin","$740",1,1,NA,4,"$145",NA,NA,750,NA,94,"11375"
"1209",1954,"no",NA,"co-op",NA,"no","6861 Yellowstone Blvd, Forest Hills NY, 11375","yes","efficiency","$1,620 ",3,2,NA,8,"$140",36,NA,NA,NA,94,"11375"
