"","approx_year_built","cats_allowed","common_charges","coop_condo","dining_room_type","dogs_allowed","full_address_or_zip_code","garage_exists","kitchen_type","maintenance_cost","num_bedrooms","num_full_bathrooms","num_half_bathrooms","num_total_rooms","parking_charges","pct_tax_deductibl","sale_price","sq_footage","total_taxes","walk_score","zip_codes"
"1073",1964,"yes",NA,"co-op",NA,"no","43-10 Kissena Blvd Blvd,  Flushing NY, 11355",NA,"eatin","$973",3,2,NA,6,NA,50,NA,1300,NA,94,"11355"
"1074",1961,"yes",NA,"co-op",NA,"no","43-10 Kissena Blvd,  Flushing NY, 11355",NA,"combo","$690",1,1,NA,3,NA,35,NA,800,NA,94,"11355"
"1075",1961,"yes",NA,"co-op",NA,"no","43-10 Kissena Blvd,  Flushing NY, 11355",NA,"combo","$940",2,2,NA,5,NA,35,NA,1200,NA,94,"11355"
"1076",1964,"no",NA,"co-op","formal","no","43-10 Kissena Blvd,  Flushing NY, 11355",NA,"eatin","$963",3,2,NA,6,NA,NA,NA,1300,NA,94,"11355"
"1077",1961,"no",NA,"co-op",NA,"no","43-10 Kissena Blvd,  Flushing NY, 11355",NA,"efficiency","$1,086 ",3,2,NA,6,"$120",NA,NA,NA,NA,94,"11355"
"1078",1961,"yes",NA,"co-op",NA,"no","43-10 Kissena Blvd, Flushing NY, 11355",NA,"combo","$787",2,1,NA,4,NA,NA,NA,NA,NA,94,"11355"
"1079",2012,"yes","$335","condo","combo","yes","43-12 214th Pl, Bayside NY, 11361",NA,"efficiency kitchen",NA,2,2,NA,5,NA,NA,NA,NA,"$892",93,"11361"
"1080",2001,"no","$213","condo","combo","no","43-18 Main St, Flushing NY, 11355",NA,"eatin",NA,1,1,NA,3,NA,NA,NA,NA,"$2,333 ",96,"11355"
"1081",2007,"no","$210","condo","combo","no","43-20 Union St,  Flushing NY, 11355",NA,"eatin",NA,2,2,NA,5,NA,NA,NA,NA,"$17",92,"11355"
"1082",2007,"no",NA,"condo","combo","no","43-20 Union St,  Flushing NY, 11355",NA,"eatin",NA,2,2,NA,5,NA,NA,NA,NA,"$17",92,"11355"
"1083",1961,"no",NA,"co-op","combo","no","43-25 Douglaston Pky,  Douglaston NY, 11363",NA,"efficiency kitchen","$930",2,2,NA,5,NA,NA,NA,NA,NA,79,"11363"
"1084",1931,"no","$319","condo",NA,"no","43-33 48th St,  Sunnyside NY, 11104",NA,"eatin",NA,1,1,NA,5,NA,NA,NA,743,"$2,808 ",98,"11104"
"1085",1950,"no",NA,"co-op","formal","no","43-36 Robinson St,  Flushing NY, 11355",NA,"eatin","$901",3,1,NA,7,NA,NA,NA,1300,NA,89,"11355"
"1086",1954,"no",NA,"co-op","combo","no","43-40 Union St,  Flushing NY, 11355",NA,"eatin","$706",2,1,NA,5,NA,NA,NA,850,NA,88,"11355"
"1087",1954,"no",NA,"co-op","formal","no","43-40 Union St,  Flushing NY, 11355",NA,"eatin","$700",2,1,NA,6,NA,NA,NA,850,NA,88,"11355"
"1088",1958,"no","$453","condo","combo","no","43-43 Kissena Blvd,  Flushing NY, 11355",NA,"efficiency",NA,1,1,NA,4,NA,NA,NA,NA,"$2,382 ",96,"11355"
"1089",1958,"no","$453","condo","combo","no","43-43 Kissena Blvd,  Flushing NY, 11355",NA,"efficiency",NA,1,1,NA,4,NA,NA,NA,NA,"$2,382 ",96,"11355"
"1090",1930,"yes",NA,"co-op","other","no","44-14 Newtown Rd,  Astoria NY, 11103",NA,"efficiency kitchen","$575",1,1,1,4,NA,NA,NA,NA,NA,95,"11103"
"1091",1954,"no",NA,"co-op","formal","no","44-55 Kissena Blvd,  Flushing NY, 11355",NA,"eatin",NA,2,1,NA,5,NA,NA,NA,NA,NA,88,"11355"
"1092",1940,"yes",NA,"co-op","combo","yes","45 Kew Gardens Rd,  Kew Gardens NY, 11415",NA,"eatin","$798",1,1,NA,3,NA,NA,NA,950,NA,92,"11415"
"1093",1988,"no",NA,"condo","combo","no","45-08 80 St,  Elmhurst NY, 11373",NA,"eatin","$210",2,1,1,4,NA,NA,NA,850,"$3,400 ",94,"11373"
"1094",1987,"yes","$226","condo","combo","yes","46-22 161st St,  Flushing NY, 11358",NA,"combo",NA,2,1,1,5,NA,NA,NA,800,"$2,800 ",76,"11358"
"1095",1987,"yes","$226","condo","combo","yes","46-22 161st St,  Flushing NY, 11358",NA,"combo",NA,2,1,1,5,NA,NA,NA,800,"$2,800 ",76,"11358"
"1096",1960,"no",NA,"co-op",NA,"no","47-27 Little Neck Pky,  Little Neck NY, 11362",NA,"eatin","$550",NA,1,NA,3,NA,NA,NA,NA,NA,84,"11362"
"1097",1937,"yes",NA,"co-op",NA,"yes","48-26 44 St,  Woodside NY, 11377",NA,"eatin","$783",1,1,NA,3,NA,40,NA,600,NA,95,"11377"
"1098",1950,"yes",NA,"co-op","formal","yes","50-05 43 Ave,  Woodside NY, 11377",NA,"combo","$460",1,1,NA,4,NA,NA,NA,NA,NA,98,"11377"
"1099",1987,"yes","$376","condo","formal","yes","502 Julius Rd,  College Point NY, 11356",NA,"combo",NA,2,2,1,7,NA,NA,NA,NA,"$3,280 ",64,"11356"
"1100",1988,"no","$265","condo","formal","no","51-14 Haspel St,  Elmhurst NY, 11373","yes","eatin",NA,2,1,1,5,NA,NA,NA,NA,"$3,740 ",89,"11373"
"1101",1962,"no","$490","condo","other","no","51-33 Goldsmith St,  Elmhurst NY, 11373",NA,"eatin",NA,1,1,NA,3,NA,NA,NA,663,"$3,200 ",96,"11373"
"1102",1955,"no",NA,"co-op","combo","no","52-15 65th Place,  Maspeth NY, 11378",NA,"efficiency","$670",2,1,NA,4,NA,NA,NA,NA,NA,81,"11378"
"1103",1955,"no",NA,"co-op","combo","no","52-21 65th Place, Maspeth, NY 11378",NA,"efficiency kitchen","$670",2,1,NA,4,NA,NA,NA,NA,NA,81,"11378"
"1104",1964,"no","$448","condo","combo","no","53-11 90th Street,  Elmhurst NY, 11373",NA,"efficiency kitchen",NA,2,1,NA,4,NA,NA,NA,872,"$3,359 ",85,"11373"
"1105",1987,"yes","$380","condo","formal","yes","5-34 115 St,  College Point NY, 11356","yes","efficiency",NA,2,2,NA,6,NA,NA,NA,NA,"$2,700 ",53,"11356"
"1106",1961,"yes",NA,"co-op","combo","no","54-40 Little Neck Pky,  Little Neck NY, 11362",NA,"efficiency","$687",1,1,NA,3,"$95",NA,NA,NA,NA,76,"11362"
"1107",1961,"no",NA,"co-op","formal","no","54-40 Little Neck Pky,  Little Neck NY, 11362",NA,"efficiency kitchen","$877",2,1,NA,4,NA,NA,NA,NA,NA,76,"11362"
"1108",1961,"yes",NA,"co-op","combo","no","54-40 Little Neck Pky, Little Neck, NY 11362",NA,"efficiency","$644",1,1,NA,3,NA,NA,NA,NA,NA,76,"11362"
"1109",1961,"yes",NA,"co-op","combo","no","54-44 Little Neck Pky,  Little Neck NY, 11362",NA,"efficiency kitchen","$634",1,1,NA,3,NA,NA,NA,NA,NA,76,"11362"
"1110",1991,"no","$280","condo","combo","no","55-10 102 St,  Corona NY, 11368",NA,"efficiency kitchen",NA,1,1,NA,4,NA,NA,NA,1020,"$1,860 ",89,"11368"
"1111",1955,"yes","$390","condo",NA,"yes","56-20 175th Pl,  Fresh Meadows NY, 11365",NA,"eatin",NA,2,1,NA,4,NA,NA,NA,800,"$3,478 ",82,"11365"
"1112",1953,"yes",NA,"co-op","combo","no","57-10 244th St,  Douglaston NY, 11362",NA,"eatin","$1,022 ",2,1,NA,5,NA,NA,NA,NA,NA,76,"11362"
"1113",1950,"yes",NA,"co-op",NA,"no","57-33 Marathon Pky,  Little Neck NY, 11362",NA,"efficiency kitchen","$673",1,1,NA,3,NA,30,NA,650,NA,85,"11362"
"1114",1968,"no",NA,"co-op","formal","no","58-03 Calloway St,  Corona NY, 11368","yes","eatin","$511",NA,1,NA,2,"$180",NA,NA,NA,NA,90,"11368"
"1115",2016,"no",NA,"condo","formal","no","5804 Main St,  Flushing NY, 11355",NA,"combo",NA,1,1,NA,3,NA,NA,NA,622,"$150",89,"11355"
"1116",2016,"no","$315","condo","other","no","58-04 Main St,  Flushing NY, 11355",NA,"combo",NA,2,1,NA,4,NA,NA,NA,900,"$120",89,"11355"
"1117",1968,"no",NA,"co-op","formal","no","59-21 Calloway St,  Rego Park NY, 11374",NA,"efficiency kitchen","$863",2,2,NA,4,NA,NA,NA,NA,NA,88,"11374"
"1118",1962,"yes",NA,"co-op","other","yes","60-11 Broadway,  Woodside NY, 11377",NA,"eatin","$977",3,2,NA,7,NA,NA,NA,1428,NA,94,"11377"
"1119",1950,"yes",NA,"co-op","formal","no","60-30 Little Neck Pky,  Little Neck NY, 11362",NA,"efficiency kitchen","$695",1,1,NA,3,NA,30,NA,650,NA,68,"11362"
"1120",1927,"no","$377","condo",NA,"no","61-09 39th Avenue,  Woodside NY, 11377",NA,"eatin",NA,1,1,NA,3,NA,NA,NA,741,"$245",96,"11377"
"1121",1927,"no","$398","condo",NA,"no","61-09 39th Avenue,  Woodside NY, 11377",NA,"eatin",NA,1,1,NA,3,NA,NA,NA,NA,"$258",96,"11377"
"1122",1962,"yes",NA,"co-op","combo","yes","61-15 97 St, Rego Park NY, 11374",NA,"efficiency kitchen","$1,003 ",2,2,NA,5,"$150",NA,NA,1150,NA,93,"11374"
"1123",1962,"yes",NA,"co-op","combo","yes","61-15 97th St,  Rego Park NY, 11374","yes","eatin","$648",1,1,NA,3,"$150",50,NA,750,NA,93,"11374"
"1124",1967,"yes",NA,"co-op","combo","yes","61-20 Grand Central Pky,  Forest Hills NY, 1137",NA,"efficiency ktchen","$995",1,1,NA,3,"$150",NA,NA,900,NA,55,"01137"
"1125",1964,"yes",NA,"co-op","formal","yes","61-20 Grand Central Pky,  Forest Hills NY, 11375",NA,"efficiency kitchen","$1,265 ",2,1,NA,4,NA,NA,NA,1000,NA,55,"11375"
"1126",1960,"no",NA,"co-op","formal","no","61-20 Grand Central Pky,  Forest Hills NY, 11375",NA,"eatin","$1,248 ",2,1,NA,5,"$150",40,NA,1050,NA,55,"11375"
"1127",1965,"no",NA,"co-op","formal","no","61-20 Grand Central Pky,  Forest Hills NY, 11375",NA,"efficiency kitchen","$1,601 ",2,2,NA,4,NA,40,NA,1200,NA,55,"11375"
"1128",1965,"no",NA,"co-op","formal","no","61-20 Grand Central Pky,  Forest Hills NY, 11375",NA,"efficiency kitchen","$1,757 ",2,2,NA,5,NA,35,NA,1300,NA,55,"11375"
"1129",1967,"yes",NA,"co-op","combo","yes","61-20 Grand Central Pky,  Forest Hills NY, 11375","yes","efficiency kitchen","$1,700 ",3,2,NA,6,NA,NA,NA,1450,NA,55,"11375"
"1130",1964,"yes",NA,"co-op","combo","yes","61-20 Grand Central Pky,  Forest Hills NY, 11375",NA,"efficiency kitchen","$1,034 ",2,1,NA,4,NA,NA,NA,NA,NA,55,"11375"
"1131",1965,"no",NA,"co-op","formal","no","61-20 Grand Central Pky,  Forest Hills NY, 11375",NA,"eatin","$1,708 ",2,2,NA,4,NA,NA,NA,1300,NA,55,"11375"
"1132",1962,"yes",NA,"co-op","combo","yes","61-25 97th St,  Rego Park NY, 11374","yes","eatin","$850",2,1,NA,4,"$150",50,NA,975,NA,93,"11374"
"1133",1960,"yes",NA,"co-op","formal","yes","61-25 98 St,  Rego Park NY, 11374","yes","eatin","$1,241 ",3,2,NA,6,"$150",50,NA,1400,NA,92,"11374"
"1134",1960,"yes",NA,"co-op","combo","yes","61-25 98th St,  Rego Park NY, 11374",NA,"efficiency kitchen","$642",1,1,NA,3,NA,NA,NA,NA,NA,92,"11374"
"1135",1955,"yes",NA,"co-op","other","yes","61-25 98th St,  Rego Park NY, 11374",NA,"combo","$842",2,1,NA,4,NA,NA,NA,NA,NA,92,"11374"
"1136",1950,"no",NA,"co-op","formal","no","61-35 98th St,  Rego Park NY, 11374",NA,"efficiency kitchen","$709",1,1,NA,4,"$160",50,NA,800,NA,94,"11374"
"1137",1960,"yes",NA,"co-op","combo","yes","61-35 98th St, Rego Park NY, 11374","yes","combo","$462",NA,1,NA,0,"$160",50,NA,310,NA,94,"11374"
"1138",1955,"no",NA,"co-op","combo","no","61-39 224 St,  Bayside NY, 11364",NA,"eatin","$731",2,1,NA,4,"$80",NA,NA,850,NA,75,"11364"
"1139",1960,"yes",NA,"co-op","combo","yes","61-55 98th St,  Rego Park NY, 11374","yes","efficiency kitchen","$675",1,1,NA,3,"$160",NA,NA,700,NA,92,"11374"
"1140",1960,"yes",NA,"co-op","combo","yes","61-55 98th St,  Rego Park NY, 11374","yes","efficiency","$938",2,1,NA,5,"$160",NA,NA,NA,NA,92,"11374"
"1141",1971,"no","$354","condo","combo","no","62-15 Douglaston Pky,  Douglaston NY, 11362","yes","eatin",NA,3,2,1,6,NA,NA,NA,1520,"$4,415 ",72,"11362"
"1142",1988,"yes","$779","condo","combo","yes","62-54 97th Place,  Rego Park NY, 11374","yes","combo",NA,2,1,1,8,"$56",NA,NA,1000,"$3,500 ",96,"11374"
"1143",1950,"no",NA,"co-op","formal","no","62-59 108th St,  Forest Hills NY, 11375",NA,"eatin","$718",2,1,NA,4,NA,NA,NA,1200,NA,99,"11375"
"1144",1955,"no",NA,"co-op","combo","no","63-09 108 St,  Forest Hills NY, 11375",NA,"efficiency kitchen","$398",NA,1,NA,2,NA,NA,NA,NA,NA,87,"11375"
"1145",1960,"no","$2,499 ","co-op",NA,"no","63-09 108th St,  Forest Hills NY, 11375","yes","combo","$811",2,1,NA,6,"$95",NA,NA,1550,NA,87,"11375"
"1146",1960,"no",NA,"co-op","other","no","63-09 108th St, Forest Hills NY, 11375","yes","combo","$811",2,1,NA,6,"$95",NA,NA,1250,"$2,499 ",87,"11375"
"1147",1945,"no",NA,"co-op","formal","no","63-109 Saunders St,  Rego Park NY, 11374",NA,"eatin","$643",1,1,NA,3,NA,NA,NA,NA,NA,96,"11374"
"1148",1949,"no","$518","condo","combo","no","63-60 102 St, Rego Park NY, 11374",NA,"efficiency kitchen",NA,2,1,NA,5,"$125",NA,NA,NA,"$3,606 ",91,"11374"
"1149",1949,"no","$440","condo","other","no","63-60 102 St., Rego Park, NY 11374",NA,"efficiency kitchen",NA,2,2,NA,5,NA,NA,NA,NA,"$350",91,"11374"
"1150",1952,"no",NA,"condo",NA,"no","63-85 Woodhaven Blvd, Rego Park Ny, 11374",NA,"combo",NA,NA,1,NA,2,NA,NA,NA,NA,"$2,013 ",89,"11374"
"1151",1952,"no","$418","condo","formal","no","63-93 Woodhaven Blvd,  Rego Park NY, 11374",NA,"eatin",NA,1,1,NA,4,NA,NA,NA,900,"$2,450 ",89,"11374"
"1152",2008,"no","$560","condo","combo","no","64-05 Yellowstone Blvd,  Forest Hills NY, 11375",NA,"eatin",NA,1,1,NA,3,NA,NA,NA,719,"$31",89,"11375"
"1153",2008,"yes","$830","condo","combo","yes","64-05 Yellowstone Blvd,  Forest Hills NY, 11375","yes","eatin",NA,2,2,NA,5,NA,NA,NA,1250,"$65",89,"11375"
"1154",1950,"no",NA,"co-op","combo","no","64-11 99 St,  Rego Park NY, 11374",NA,"combo","$690",2,1,NA,4,NA,50,NA,900,NA,92,"11374"
"1155",1952,"yes",NA,"co-op","formal","yes","64-11 99 St,  Rego Park NY, 11374","yes","eatin","$1,225 ",3,2,NA,6,"$150",47,NA,1350,NA,92,"11374"
"1156",1955,"no",NA,"co-op","combo","no","64-34 102nd St,  Rego Park NY, 11374",NA,"combo","$445",1,1,NA,3,NA,NA,NA,NA,NA,90,"11374"
"1157",1985,"no","$520","condo","formal","no","64-57 Wetherole St,  Rego Park NY, 11374",NA,"efficiency",NA,3,2,NA,6,NA,NA,NA,1160,"$2,423 ",94,"11374"
"1158",1939,"no",NA,"co-op",NA,"no","64-85 Saunders St,  Rego Park NY, 11374",NA,"combo","$482",NA,1,NA,2,NA,NA,NA,NA,NA,95,"11374"
"1159",1960,"no","$402","condo","combo","no","65-03 242 St,  Douglaston NY, 11362",NA,"eatin",NA,2,2,NA,5,NA,NA,NA,NA,"$3,047 ",49,"11362"
"1160",1983,"yes","$170","condo",NA,"yes","65-09 242nd St,  Douglaston NY, 11362",NA,"eatin",NA,1,1,NA,3,NA,NA,NA,NA,"$1,829 ",45,"11362"
"1161",1963,"no",NA,"co-op","combo","no","65-15 38 Ave,  Woodside NY, 11377",NA,"efficiency","$640",2,1,NA,5,NA,NA,NA,NA,NA,96,"11377"
"1162",1952,"no",NA,"co-op",NA,"no","65-15 38th Ave,  Woodside NY, 11377",NA,"efficiency","$400",NA,1,NA,3,NA,50,NA,NA,NA,96,"11377"
"1163",1952,"no",NA,"co-op","combo","no","65-15 38th Ave,  Woodside NY, 11377",NA,"eatin","$720",2,2,NA,7,NA,50,NA,NA,NA,96,"11377"
"1164",1949,"yes",NA,"co-op","combo","yes","65-31 223rd Pl,  Bayside NY, 11364",NA,"efficiency","$859",2,1,NA,4,NA,NA,NA,NA,NA,78,"11364"
"1165",2014,"yes",NA,"condo","formal","yes","65-33 38 Ave,  Woodside NY, 11377",NA,"eatin",NA,1,2,1,6,NA,NA,NA,NA,"$6,988 ",96,"11377"
"1166",1939,"no",NA,"co-op","other","no","65-41 Booth St,  Rego Park NY, 11374",NA,"eatin","$799",1,1,NA,3,NA,45,NA,800,NA,94,"11374"
"1167",1963,"no",NA,"condo","formal","no","65-50 Wetherole St,  Rego Park NY, 11374","yes","combo",NA,1,1,NA,3,"$225",NA,NA,NA,"$2,413 ",90,"11374"
"1168",1963,"no","$362","condo","formal","no","65-50 Wetherole St,  Rego Park NY, 11374","yes","eatin",NA,NA,1,NA,4,"$250",NA,NA,860,"$3,500 ",90,"11374"
"1169",1963,"no","$360","condo","formal","no","65-50 Wetherole St,  Rego Park NY, 11374",NA,"combo",NA,2,1,NA,5,"$225",NA,NA,870,"$3,945 ",90,"11374"
"1170",1963,"no","$437","condo","formal","no","65-50 Wetherole St,  Rego Park NY, 11374","yes","eatin",NA,2,1,NA,5,NA,NA,NA,NA,"$4,227 ",90,"11374"
"1171",1963,"no","$254","condo","formal","no","65-50 Wetherole St, Rego Park NY, 11374","yes","eatin",NA,1,1,NA,4,"$225",NA,NA,620,"$3,127 ",90,"11374"
"1172",1939,"no",NA,"co-op","combo","no","65-74 Saunders St,  Rego Park NY, 11374",NA,"eatin","$916",2,1,NA,5,NA,50,NA,NA,NA,93,"11374"
"1173",1963,"yes",NA,"co-op","combo","no","66-01 Burns St,  Forest Hills NY, 11375","yes","none","$418",NA,1,NA,3,NA,NA,NA,550,NA,88,"11375"
"1174",1960,"no",NA,"co-op","combo","no","66-10 Thornton Pl,  Forest Hills NY, 11375",NA,"combo","$410",NA,1,NA,3,"$125",NA,NA,NA,NA,88,"11375"
"1175",1950,"no",NA,"co-op","formal","no","66-12 Grand Central Pky, Forest Hills NY, 11375",NA,"combo","$550",1,1,NA,3,NA,50,NA,NA,NA,41,"11375"
"1176",1950,"yes",NA,"co-op","combo","no","66-15 Wetherole St,  Rego Park NY, 11374",NA,"efficiency kitchen","$671",1,1,NA,3,NA,50,NA,700,NA,87,"11374"
"1177",1965,"no",NA,"co-op","combo","no","66-36 Yellowstone Blvd,  Forest Hills NY, 11375","yes","efficiency kitchen","$943",2,1,NA,4,"$150",50,NA,1000,NA,92,"11375"
"1178",1965,"no",NA,"co-op","combo","no","66-36 Yellowstone Blvd,  Forest Hills NY, 11375",NA,"efficiency kitchen","$824",1,1,NA,3,"$150",NA,NA,NA,NA,92,"11375"
